latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,nearest_industrial_km,nearest_industrial_type,nearest_industrial_name,nearest_industrial_region,nearest_industrial_latitude,nearest_industrial_longitude,facility_osm_id,cpcb_name,cpcb_sector,nearest_place_km,nearest_place_name,nearest_place_type,in_forest,in_farmland,final_class,place_description,facility_osm_id_str,is_anomaly,baseline_frp_mean,baseline_frp_std,daynight_flag,confidence_num,ml_prediction,ml_confidence
11.06012,77.9247,338.85,0.43,0.38,2026-09-15,828,N,VIIRS,n,2.0NRT,300.68,4.25,D,7.90383322809717,industrial,TNPL Paper Mill,tn_central,11.052316,77.9966873,61982524,,,0.8035466500977314,Noyyal,village,False,False,agricultural_burn,"Agricultural cropland near Noyyal (village, 0.8 km)",61982524,False,,,1,1,agricultural_burn,0.986
11.15617,79.10941,337.23,0.48,0.4,2026-09-15,828,N,VIIRS,n,2.0NRT,302.67,4.55,D,1.845362244358132,industrial,unnamed,tn_central,11.1449731,79.0969249,178523253,Tamil Nadu Cement Corp - Ariyalur,Cement,0.757339563723363,Usenabath,village,False,False,industrial_fire,Industrial facility (Industrial facility),178523253,False,4.55,2.275,1,1,industrial_fire,0.982
11.80872,77.92429,334.97,0.43,0.38,2026-09-15,828,N,VIIRS,n,2.0NRT,299.05,3.04,D,13.680303702321629,industrial,Madras Aluminium Company Ltd (MALCO),cpcb_verified,11.788,77.8004,cpcb_0,Madras Aluminium Company Ltd (MALCO),Aluminium,1.014727554316157,Kukkalpatti,village,False,False,agricultural_burn,"Agricultural cropland near Kukkalpatti (village, 1.0 km)",cpcb_0,False,,,1,1,agricultural_burn,0.987
11.80991,78.93258,331.71,0.48,0.4,2026-09-15,828,N,VIIRS,l,2.0NRT,302.67,4.1,D,8.24874825161276,industrial,Poompuhar THDC Ltd,tn_central,11.7375173,78.9491263,836478966,,,8.336399898229844,Vadakkamandal,village,False,False,scrub_biomass_burn,Rural scrubland / open biomass near Vadakkamandal (8.3 km),836478966,False,,,1,0,scrub_biomass_burn,0.98
12.00551,76.72073,331.95,0.4,0.37,2026-09-15,828,N,VIIRS,n,2.0NRT,299.95,2.34,D,119.9388914359372,industrial,Madras Aluminium Company Ltd (MALCO),cpcb_verified,11.788,77.8004,cpcb_0,Madras Aluminium Company Ltd (MALCO),Aluminium,0.636178537187238,Taradele,village,False,False,agricultural_burn,"Agricultural cropland near Taradele (village, 0.6 km)",cpcb_0,False,,,1,1,agricultural_burn,0.987
12.37383,79.42127,331.95,0.52,0.41,2026-09-15,828,N,VIIRS,n,2.0NRT,300.39,2.2,D,7.410846869170626,industrial,"Ruins of the Ricemill, Thennathur Village",tn_central,12.4341311,79.4503323,305328715,,,5.546284295374133,Vedal,village,False,False,scrub_biomass_burn,Rural scrubland / open biomass near Vedal (5.5 km),305328715,False,3.07,1.535,1,1,scrub_biomass_burn,0.982
12.48369,76.69528,332.16,0.4,0.37,2026-09-15,828,N,VIIRS,n,2.0NRT,301.42,2.03,D,125.91154524167042,industrial,Sanmar Speciality Chemicals Ltd,cpcb_verified,12.7409,77.8253,cpcb_12,Sanmar Speciality Chemicals Ltd,Pharma,1.5114082276382523,Chikkade,village,False,False,agricultural_burn,"Agricultural cropland near Chikkade (village, 1.5 km)",cpcb_12,False,,,1,1,agricultural_burn,0.987
12.56242,76.85345,339.8,0.41,0.37,2026-09-15,828,N,VIIRS,n,2.0NRT,296.54,2.85,D,107.2922903396678,industrial,Sanmar Speciality Chemicals Ltd,cpcb_verified,12.7409,77.8253,cpcb_12,Sanmar Speciality Chemicals Ltd,Pharma,0.7985830099397507,Chikkatammanahalli,village,False,False,agricultural_burn,"Agricultural cropland near Chikkatammanahalli (village, 0.8 km)",cpcb_12,False,,,1,1,agricultural_burn,0.987
12.62344,77.00887,331.74,0.41,0.37,2026-09-15,828,N,VIIRS,n,2.0NRT,301.31,1.64,D,89.52584003080351,industrial,Sanmar Speciality Chemicals Ltd,cpcb_verified,12.7409,77.8253,cpcb_12,Sanmar Speciality Chemicals Ltd,Pharma,0.9377965505440918,Belaturu,village,False,False,agricultural_burn,"Agricultural cropland near Belaturu (village, 0.9 km)",cpcb_12,False,,,1,1,agricultural_burn,0.987
13.23795,76.23752,334.09,0.39,0.37,2026-09-15,828,N,VIIRS,l,2.0NRT,307.25,2.64,D,180.69467706512083,industrial,Sanmar Speciality Chemicals Ltd,cpcb_verified,12.7409,77.8253,cpcb_12,Sanmar Speciality Chemicals Ltd,Pharma,0.4032291888444471,Guttinakere,village,False,False,agricultural_burn,"Agricultural cropland near Guttinakere (village, 0.4 km)",cpcb_12,False,,,1,0,agricultural_burn,0.986
10.86468,78.57971,346.45,0.41,0.37,2026-09-16,809,N,VIIRS,n,2.0NRT,303.06,6.54,D,12.190208751725937,industrial,unnamed,tn_central,10.7604637,78.6143473,1410857831,,,0.3113074027358192,Pallatteru,village,False,False,agricultural_burn,"Agricultural cropland near Pallatteru (village, 0.3 km)",1410857831,False,,,1,1,agricultural_burn,0.987
11.06063,77.64198,336.72,0.44,0.38,2026-09-16,809,N,VIIRS,l,2.0NRT,301.93,8.03,D,38.720596829213584,industrial,TNPL Paper Mill,tn_central,11.052316,77.9966873,61982524,,,0.2697711825124323,Mullipuram,village,False,False,agricultural_burn,"Agricultural cropland near Mullipuram (village, 0.3 km)",61982524,False,,,1,0,agricultural_burn,0.987
11.88033,79.37421,332.62,0.39,0.36,2026-09-16,809,N,VIIRS,n,2.0NRT,302.2,4.36,D,6.014747502098284,industrial,Chengalvarayan Co-operative Sugar Mills Ltd. Periyasevalai,tn_central,11.8383667,79.3393332,352996973,,,1.840532430906313,Thiruvennainalur,village,False,False,agricultural_burn,"Agricultural cropland near Thiruvennainalur (village, 1.8 km)",352996973,False,,,1,1,agricultural_burn,0.986
12.41312,79.09644,334.22,0.39,0.36,2026-09-16,809,N,VIIRS,n,2.0NRT,303.56,2.54,D,17.677460934132945,industrial,unnamed,tn_central,12.2550688,79.1139789,1025064116,,,2.390746916272001,Kalasapakkam,village,False,False,agricultural_burn,"Agricultural cropland near Kalasapakkam (village, 2.4 km)",1025064116,False,,,1,1,agricultural_burn,0.985
12.68162,79.69539,331.85,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,302.08,2.56,D,5.45845495835576,industrial,Cheyyar SEZ Developers Pvt. Ltd.,tn_north,12.7220708,79.666881,597913161,,,5.62201721260626,Perunagar,village,False,False,scrub_biomass_burn,Rural scrubland / open biomass near Perunagar (5.6 km),597913161,False,,,1,0,scrub_biomass_burn,0.979
12.80444,79.90247,335.05,0.38,0.36,2026-09-16,809,N,VIIRS,n,2.0NRT,301.49,3.44,D,0.0880705288231227,industrial,unnamed,tn_north,12.8048963,79.9018061,1425509044,,,2.8644974630691946,Melacheri,village,False,False,industrial_fire,Industrial facility (Industrial facility),1425509044,False,3.44,1.72,1,1,industrial_fire,0.985
12.80921,79.95585,332.37,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,302.72,1.92,D,3.21859286288804,works,unnamed,tn_north,12.8378758,79.9517331,1053243953,,,0.8962253596661011,Senthamangalam,suburb,False,False,urban_commercial_fire,Urban / Commercial area (Senthamangalam),1053243953,False,,,1,0,urban_commercial_fire,0.984
12.83462,79.9446,330.86,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,304.3,3.9,D,0.2847445810575489,industrial,Renault Nissan,tn_north,12.835853,79.9422981,191527886,,,0.4528938018924235,Oragadam,town,False,False,industrial_fire,Industrial facility (Renault Nissan),191527886,False,3.185,1.703809457265297,1,0,industrial_fire,0.985
12.83739,79.94054,335.33,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,307.01,1.79,D,0.2560072397165143,industrial,Renault Nissan,tn_north,12.835853,79.9422981,191527886,,,0.5277714003645642,Oragadam,town,False,False,industrial_fire,Industrial facility (Renault Nissan),191527886,False,3.185,1.703809457265297,1,0,industrial_fire,0.985
12.8407,79.94003,330.26,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,301.79,1.79,D,0.5924060305191722,industrial,Renault Nissan,tn_north,12.835853,79.9422981,191527886,,,0.6087383517793656,Oragadam,town,False,False,industrial_fire,Industrial facility (Renault Nissan),191527886,False,3.185,1.703809457265297,1,0,industrial_fire,0.985
12.85502,79.94497,331.64,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,302.95,2.95,D,0.2835774202374453,industrial,unnamed,tn_north,12.8575345,79.9445334,661546337,,,0.3813145067455044,Oragadam Industrial Estate,suburb,False,False,industrial_fire,Industrial facility (Industrial facility),661546337,False,3.495,0.8633462032502758,1,0,industrial_fire,0.985
12.85833,79.94445,333.53,0.38,0.36,2026-09-16,809,N,VIIRS,n,2.0NRT,303.38,3.78,D,0.088916413851962,industrial,unnamed,tn_north,12.8575345,79.9445334,661546337,,,0.4384935190412609,Oragadam Industrial Estate,suburb,False,False,industrial_fire,Industrial facility (Industrial facility),661546337,False,3.495,0.8633462032502758,1,1,industrial_fire,0.985
12.87986,79.90807,336.19,0.38,0.36,2026-09-16,809,N,VIIRS,n,2.0NRT,305.99,6.6,D,0.2994619746734046,industrial,unnamed,tn_north,12.8813249,79.9103882,1055416512,,,1.4705867943438735,Palnellore,village,False,False,industrial_fire,Industrial facility (Industrial facility),1055416512,False,6.6,3.3,1,1,industrial_fire,0.985
12.90249,79.90087,333.48,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,306.91,4.88,D,0.0648385691371898,works,unnamed,tn_north,12.9025771,79.9014615,749986036,,,1.744736332582278,Echoor,village,False,False,industrial_fire,Industrial facility (Industrial facility),749986036,False,4.88,2.44,1,0,industrial_fire,0.985
12.98208,80.0002,331.36,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,304.69,2.3,D,1.5203455029274835,works,unnamed,tn_north,12.9955031,80.0028694,38444699,,,1.8176220104458505,Irungattukottai,village,False,False,industrial_fire,Industrial facility (Industrial facility),38444699,False,2.3,1.15,1,0,industrial_fire,0.985
13.43832,79.71164,331.64,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,303.57,4.06,D,17.24326069889118,industrial,"APSRTC Bus Depot, Puttur",tn_north,13.4341705,79.5522608,1415875785,,,1.3173583078937685,Kottagollakandriga,village,False,False,agricultural_burn,"Agricultural cropland near Kottagollakandriga (village, 1.3 km)",1415875785,False,,,1,0,agricultural_burn,0.985
13.48112,78.97852,336.22,0.39,0.36,2026-09-16,809,N,VIIRS,n,2.0NRT,297.64,1.94,D,9.838372479838617,industrial,unnamed,tn_north,13.4496711,79.0635585,1264688218,,,3.281154501390489,Morrumkrindapalle,village,False,False,agricultural_burn,"Agricultural cropland near Morrumkrindapalle (village, 3.3 km)",1264688218,False,,,1,1,agricultural_burn,0.985
13.57117,79.69406,331.49,0.38,0.36,2026-09-16,809,N,VIIRS,l,2.0NRT,302.88,2.41,D,4.882814597969531,industrial,unnamed,tn_north,13.5929497,79.7332874,1002542311,,,1.549493447217335,Adavaram,village,False,False,agricultural_burn,"Agricultural cropland near Adavaram (village, 1.5 km)",1002542311,False,,,1,0,agricultural_burn,0.984
13.39193,80.0769,309.79,0.54,0.42,2026-09-16,2044,N,VIIRS,n,2.0NRT,293.19,0.85,N,0.1680928827050122,industrial,unnamed,tn_north,13.3934322,80.0770739,840721279,T.C.P. Limited - Gummidipoondi,Powerplant,6.087871915984604,Gummidipoondi,town,False,False,industrial_fire,Industrial facility (Industrial facility),840721279,False,1.46,1.324889932535278,0,1,industrial_fire,0.985
13.3958,80.07763,309.59,0.54,0.42,2026-09-16,2044,N,VIIRS,n,2.0NRT,293.28,0.99,N,0.2700715870575648,industrial,unnamed,tn_north,13.3934322,80.0770739,840721279,T.C.P. Limited - Gummidipoondi,Powerplant,5.833013204299616,Gummidipoondi,town,False,False,industrial_fire,Industrial facility (Industrial facility),840721279,False,1.46,1.324889932535278,0,1,industrial_fire,0.985
8.56332,77.68252,335.26,0.6,0.53,2026-09-17,750,N,VIIRS,n,2.0NRT,296.11,5.63,D,26.39580313936532,industrial,Sun Paper Mills Limited,cpcb_verified,8.6822,77.4747,cpcb_28,Sun Paper Mills Limited,Pulp & Paper,1.4917123092476858,Panankulam,village,False,False,agricultural_burn,"Agricultural cropland near Panankulam (village, 1.5 km)",cpcb_28,False,,,1,1,agricultural_burn,0.985
8.5661,77.67891,346.14,0.6,0.53,2026-09-17,750,N,VIIRS,n,2.0NRT,296.67,10.23,D,25.89749386166766,industrial,Sun Paper Mills Limited,cpcb_verified,8.6822,77.4747,cpcb_28,Sun Paper Mills Limited,Pulp & Paper,1.2289172168925615,Panankulam,village,False,False,agricultural_burn,"Agricultural cropland near Panankulam (village, 1.2 km)",cpcb_28,False,,,1,1,agricultural_burn,0.986
9.78933,80.15058,337.65,0.4,0.44,2026-09-17,750,N,VIIRS,n,2.0NRT,293.66,4.45,D,92.73283850885264,industrial,unnamed,tn_central,10.430444,79.6088047,651535389,,,2.1270457064573947,Udupiddy,village,False,False,agricultural_burn,"Agricultural cropland near Udupiddy (village, 2.1 km)",651535389,False,,,1,1,agricultural_burn,0.987
10.94808,77.369,332.82,0.58,0.52,2026-09-17,750,N,VIIRS,n,2.0NRT,292.75,2.59,D,42.155574930105104,industrial,Amaravathy Co-Op Sugar Mills (Distillery),cpcb_verified,10.5876,77.2495,cpcb_4,Amaravathy Co-Op Sugar Mills (Distillery),Distillery,0.9740569501346836,Kattur,village,False,False,agricultural_burn,"Agricultural cropland near Kattur (village, 1.0 km)",cpcb_4,False,,,1,1,agricultural_burn,0.986
11.70747,79.19976,330.48,0.43,0.46,2026-09-17,750,N,VIIRS,n,2.0NRT,298.27,1.48,D,10.580060952541388,industrial,IOCL Asanur,tn_central,11.6130218,79.1879921,1069783572,,,2.174321820815191,Elavanasur,village,False,False,agricultural_burn,"Agricultural cropland near Elavanasur (village, 2.2 km)",1069783572,False,,,1,1,agricultural_burn,0.985
11.84093,79.02319,332.41,0.43,0.46,2026-09-17,750,N,VIIRS,n,2.0NRT,297.32,2.79,D,14.043455315730832,industrial,Poompuhar THDC Ltd,tn_central,11.7375173,78.9491263,836478966,,,2.885477149232981,Thondanandal,village,True,False,wildfire,Forest / Woodland reserve near Thondanandal,836478966,False,,,1,1,wildfire,0.98
11.84172,79.02304,330.67,0.44,0.46,2026-09-17,750,N,VIIRS,n,2.0NRT,297.19,2.11,D,14.106147886423935,industrial,Poompuhar THDC Ltd,tn_central,11.7375173,78.9491263,836478966,,,2.825826470853672,Thondanandal,village,True,False,wildfire,Forest / Woodland reserve near Thondanandal,836478966,False,,,1,1,wildfire,0.98
11.26819,80.00468,315.44,0.38,0.36,2026-09-17,2023,N,VIIRS,n,2.0NRT,288.2,2.8,N,39.78528712668589,industrial,IL&FS Tamil Nadu Thermal Power Station,tn_central,11.5261596,79.7517592,645959123,,,17.888288655154547,Tirumullaivasal,village,False,False,scrub_biomass_burn,Rural scrubland / open biomass near Tirumullaivasal (17.9 km),645959123,False,,,0,1,scrub_biomass_burn,0.984
11.81608,77.91647,303.15,0.42,0.37,2026-09-17,2023,N,VIIRS,n,2.0NRT,284.71,0.94,N,13.013677646320776,industrial,Madras Aluminium Company Ltd (MALCO),cpcb_verified,11.788,77.8004,cpcb_0,Madras Aluminium Company Ltd (MALCO),Aluminium,0.8211474324360273,Kukkalpatti,village,False,False,agricultural_burn,"Agricultural cropland near Kukkalpatti (village, 0.8 km)",cpcb_0,False,,,0,1,agricultural_burn,0.987
12.62707,79.91238,315.74,0.38,0.36,2026-09-17,2023,N,VIIRS,n,2.0NRT,289.16,1.63,N,2.024826167656801,industrial,unnamed,tn_north,12.6168123,79.9277983,1032865618,,,1.256791950093967,Bukkathurai,village,False,False,agricultural_burn,"Agricultural cropland near Bukkathurai (village, 1.3 km)",1032865618,False,,,0,1,agricultural_burn,0.812
13.38076,80.11128,305.05,0.38,0.36,2026-09-17,2023,N,VIIRS,n,2.0NRT,287.42,1.24,N,0.0697779180505619,industrial,unnamed,tn_north,13.3804722,80.1118532,1017185140,T.C.P. Limited - Gummidipoondi,Powerplant,3.59934766817534,Kavaraipettai,village,False,False,industrial_fire,Industrial facility (Industrial facility),1017185140,False,1.67,0.608111831820431,0,1,industrial_fire,0.985
13.39237,80.10231,308.79,0.38,0.36,2026-09-17,2023,N,VIIRS,n,2.0NRT,286.24,1.22,N,0.8666078891413003,industrial,unnamed,tn_north,13.3871773,80.1082841,840721285,T.C.P. Limited - Gummidipoondi,Powerplant,3.8091135405360825,Gummidipoondi,town,False,False,industrial_fire,Industrial facility (Industrial facility),840721285,False,1.5444444444444445,1.0770690682485398,0,1,industrial_fire,0.985
13.44764,80.09685,305.49,0.38,0.36,2026-09-17,2023,N,VIIRS,n,2.0NRT,287.99,1.47,N,0.2405022782465253,industrial,unnamed,tn_north,13.4454991,80.0971663,840721277,,,2.454586613684396,Elavur,village,False,False,industrial_fire,Industrial facility (Industrial facility),840721277,False,2.445,1.3788582233137676,0,1,industrial_fire,0.985
8.76085,78.01939,307.37,0.4,0.37,2026-09-17,2025,N,VIIRS,n,2.0NRT,293.37,1.38,N,12.688691541697674,industrial,Coastal Energen Power Ltd,cpcb_verified,8.7642,78.1348,cpcb_25,Sterlite Industries (India) Ltd - Copper Smelter,Copper,4.0691582748892,Pudukottai,village,False,False,agricultural_burn,"Agricultural cropland near Pudukottai (village, 4.1 km)",cpcb_25,False,,,0,1,agricultural_burn,0.983
9.35563,78.81754,338.63,0.51,0.66,2026-09-18,731,N,VIIRS,n,2.0NRT,290.3,6.4,D,2.578858079524438,industrial,Coromandel Electric Company Ltd,cpcb_verified,9.3639,78.8395,cpcb_24,Pioneer Power Ltd,Powerplant,2.1283325723835875,Ramanathapuram,town,False,False,urban_commercial_fire,Urban / Commercial area (Ramanathapuram),cpcb_24,False,,,1,1,urban_commercial_fire,0.981
9.58416,78.56781,331.83,0.53,0.67,2026-09-18,731,N,VIIRS,n,2.0NRT,290.8,3.52,D,10.51102982817854,industrial,unnamed,tn_central,9.5863852,78.4719702,725193694,,,4.996163381112772,Kumarakurichi,village,False,False,agricultural_burn,"Agricultural cropland near Kumarakurichi (village, 5.0 km)",725193694,False,,,1,1,agricultural_burn,0.511
11.26936,80.0015,330.06,0.4,0.6,2026-09-18,731,N,VIIRS,n,2.0NRT,289.22,2.77,D,39.45157989645281,industrial,IL&FS Tamil Nadu Thermal Power Station,tn_central,11.5261596,79.7517592,645959123,,,17.56854288523169,Tirumullaivasal,village,False,False,scrub_biomass_burn,Rural scrubland / open biomass near Tirumullaivasal (17.6 km),645959123,False,,,1,1,scrub_biomass_burn,0.983
12.45774,76.88866,329.6,0.6,0.71,2026-09-18,731,N,VIIRS,n,2.0NRT,287.02,3.87,D,106.40653336939032,industrial,Sanmar Speciality Chemicals Ltd,cpcb_verified,12.7409,77.8253,cpcb_12,Sanmar Speciality Chemicals Ltd,Pharma,1.0046811887516989,Mottahalli,village,False,False,agricultural_burn,"Agricultural cropland near Mottahalli (village, 1.0 km)",cpcb_12,False,,,1,1,agricultural_burn,0.987
12.76095,76.89168,328.91,0.6,0.7,2026-09-18,731,N,VIIRS,n,2.0NRT,285.42,3.45,D,101.27811651491665,industrial,Sanmar Speciality Chemicals Ltd,cpcb_verified,12.7409,77.8253,cpcb_12,Sanmar Speciality Chemicals Ltd,Pharma,0.4548652727770031,Muddenahatti,village,False,False,agricultural_burn,"Agricultural cropland near Muddenahatti (village, 0.5 km)",cpcb_12,False,,,1,1,agricultural_burn,0.987
9.61201,78.40251,331.91,0.73,0.76,2026-09-18,911,N,VIIRS,n,2.0NRT,290.84,7.68,D,8.13106974531482,industrial,unnamed,tn_central,9.5863852,78.4719702,725193694,,,1.551878934976709,Velaneri,village,False,False,agricultural_burn,"Agricultural cropland near Velaneri (village, 1.6 km)",725193694,False,,,1,1,agricultural_burn,0.986
11.26616,80.00412,304.52,0.55,0.43,2026-09-18,2006,N,VIIRS,n,2.0NRT,287.38,2.63,N,39.90630645927018,industrial,IL&FS Tamil Nadu Thermal Power Station,tn_central,11.5261596,79.7517592,645959123,,,17.79226587432174,Tirumullaivasal,village,False,False,scrub_biomass_burn,Rural scrubland / open biomass near Tirumullaivasal (17.8 km),645959123,False,,,0,1,scrub_biomass_burn,0.984
11.26987,80.00117,307.56,0.55,0.43,2026-09-18,2006,N,VIIRS,n,2.0NRT,288.24,2.52,N,39.38569905687358,industrial,IL&FS Tamil Nadu Thermal Power Station,tn_central,11.5261596,79.7517592,645959123,,,17.543117330122026,Tirumullaivasal,village,False,False,scrub_biomass_burn,Rural scrubland / open biomass near Tirumullaivasal (17.5 km),645959123,False,,,0,1,scrub_biomass_burn,0.984
11.80968,77.92376,296.23,0.5,0.49,2026-09-18,2006,N,VIIRS,n,2.0NRT,265.49,0.48,N,13.641878278548552,industrial,Madras Aluminium Company Ltd (MALCO),cpcb_verified,11.788,77.8004,cpcb_0,Madras Aluminium Company Ltd (MALCO),Aluminium,0.9065821742352784,Kukkalpatti,village,False,False,agricultural_burn,"Agricultural cropland near Kukkalpatti (village, 0.9 km)",cpcb_0,False,,,0,1,agricultural_burn,0.986
12.84287,79.89474,298.56,0.39,0.44,2026-09-18,2006,N,VIIRS,n,2.0NRT,274.13,0.31,N,0.564326816111331,industrial,unnamed,tn_north,12.8390717,79.8912877,1425509051,,,5.030187447617841,Echoor,village,False,False,industrial_fire,Industrial facility (Industrial facility),1425509051,False,0.31,0.155,0,1,industrial_fire,0.984
13.39268,80.10199,309.94,0.38,0.43,2026-09-18,2006,N,VIIRS,n,2.0NRT,286.66,1.34,N,0.9153908974651772,industrial,unnamed,tn_north,13.3871773,80.1082841,840721285,T.C.P. Limited - Gummidipoondi,Powerplant,3.809281068925858,Gummidipoondi,town,False,False,industrial_fire,Industrial facility (Industrial facility),840721285,False,1.5444444444444445,1.0770690682485398,0,1,industrial_fire,0.985
8.07086,80.09274,330.58,0.53,0.5,2026-09-09,839,N,VIIRS,n,2.0NRT,296.44,2.55,D,160.1644719967002,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,cpcb_27,Arkay Energy (Rameswaram) Ltd,Powerplant,1.182429740696034,Ralapanawa,village,False,False,agricultural_burn,"Agricultural cropland near Ralapanawa (village, 1.2 km)",cpcb_27,False,,,1,1,agricultural_burn,0.987
8.12681,80.0978,342.88,0.53,0.5,2026-09-09,839,N,VIIRS,n,2.0NRT,299.8,7.15,D,155.24980024166945,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,cpcb_27,Arkay Energy (Rameswaram) Ltd,Powerplant,2.111400810250915,Kumbukwewa,village,False,False,agricultural_burn,"Agricultural cropland near Kumbukwewa (village, 2.1 km)",cpcb_27,False,,,1,1,agricultural_burn,0.987
8.26615,80.16025,344.39,0.54,0.51,2026-09-09,839,N,VIIRS,n,2.0NRT,300.63,11.17,D,146.87098195796818,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,cpcb_27,Arkay Energy (Rameswaram) Ltd,Powerplant,1.474467972201672,Horuvila,village,False,False,agricultural_burn,"Agricultural cropland near Horuvila (village, 1.5 km)",cpcb_27,False,,,1,1,agricultural_burn,0.987
